STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,States,Trump,Biden,Ratio
31,109,00835876,31109,Lancaster,Lancaster County,Nebraska,"7,300","20,798",2.8490
46,099,01265772,46099,Minnehaha,Minnehaha County,South Dakota,"14,420","9,000",0.6241
06,091,00277310,06091,Sierra,Sierra County,California,0,500,100.0000
39,063,01074044,39063,Hancock,Hancock County,Ohio,500,0,0.0000
48,189,01383880,48189,Hale,Hale County,Texas,500,0,0.0000
39,003,01074015,39003,Allen,Allen County,Ohio,0,"3,200",100.0000
55,111,01581115,55111,Sauk,Sauk County,Wisconsin,"1,750","7,100",4.0571
41,063,01155135,41063,Wallowa,Wallowa County,Oregon,0,500,100.0000
42,007,01214112,42007,Beaver,Beaver County,Pennsylvania,"1,000","2,500",2.5000
29,083,00758496,29083,Henry,Henry County,Missouri,"2,000",0,0.0000
37,037,01008544,37037,Chatham,Chatham County,North Carolina,"8,500","64,248",7.5586
39,085,01074055,39085,Lake,Lake County,Ohio,"7,000","2,500",0.3571
51,121,01674630,51121,Montgomery,Montgomery County,Virginia,"2,000","13,600",6.8000
47,065,01639749,47065,Hamilton,Hamilton County,Tennessee,"17,800","45,400",2.5506
35,035,00929104,35035,Otero,Otero County,New Mexico,500,"1,300",2.6000
56,023,01605076,56023,Lincoln,Lincoln County,Wyoming,"2,400",0,0.0000
54,075,01550044,54075,Pocahontas,Pocahontas County,West Virginia,0,"1,500",100.0000
48,077,01383824,48077,Clay,Clay County,Texas,500,0,0.0000
51,095,01480135,51095,James City,James City County,Virginia,"3,000","18,500",6.1667
22,019,00558468,22019,Calcasieu,Calcasieu Parish,Louisiana,"6,035","1,500",0.2486
22,111,00559528,22111,Union,Union Parish,Louisiana,"1,000",0,0.0000
01,049,00161550,01049,DeKalb,DeKalb County,Alabama,"3,000","1,500",0.5000
36,101,00974148,36101,Steuben,Steuben County,New York,"1,500","5,000",3.3333
22,105,00559500,22105,Tangipahoa,Tangipahoa Parish,Louisiana,0,"2,500",100.0000
51,179,01480173,51179,Stafford,Stafford County,Virginia,"2,500","6,900",2.7600
18,073,00450494,18073,Jasper,Jasper County,Indiana,"3,500",0,0.0000
48,361,01383966,48361,Orange,Orange County,Texas,"1,000",0,0.0000
25,015,00606934,25015,Hampshire,Hampshire County,Massachusetts,"2,000","63,075",31.5375
21,003,00516848,21003,Allen,Allen County,Kentucky,500,0,0.0000
37,001,01008531,37001,Alamance,Alamance County,North Carolina,"2,900","3,500",1.2069
25,025,00606939,25025,Suffolk,Suffolk County,Massachusetts,"14,555","1,181,267",81.1588
48,177,01383874,48177,Gonzales,Gonzales County,Texas,"1,000",0,0.0000
47,115,01639770,47115,Marion,Marion County,Tennessee,"2,500","3,500",1.4000
21,231,00516962,21231,Wayne,Wayne County,Kentucky,0,"1,000",100.0000
47,185,01639800,47185,White,White County,Tennessee,500,0,0.0000
48,147,01383859,48147,Fannin,Fannin County,Texas,"1,000",500,0.5000
48,265,01383918,48265,Kerr,Kerr County,Texas,"5,000","2,500",0.5000
12,053,00295751,12053,Hernando,Hernando County,Florida,"4,800","25,400",5.2917
